mere;bb;gest;ps;reg;tps;gdp
8;8,5;HP;NP;HPNP;11;58,7
10;10,2;NP;NP;NPNP;11;50,7
10;10,5;NP;C2;NPC2;11;58,3
11;11,1;NP;C2;NPC2;11;48,7
11;11,2;NP;C1;NPC1;11;55
11;11,3;NP;NP;NPNP;11;52,1
12;12,1;HP;C2;HPC2;11;52,2
12;12,2;HP;NP;HPNP;11;60,4
13;13,2;HP;C1;HPC1;11;60,9
13;13,3;HP;C2;HPC2;11;62,3
16;16,1;HP;NP;HPNP;11;62,06666667
16;16,2;HP;C2;HPC2;11;54,3
16;16,3;HP;C1;HPC1;11;52,2
17;17,1;NP;C1;NPC1;11;60,6
17;17,2;NP;C2;NPC2;11;57,71666667
17;17,3;NP;NP;NPNP;11;65,58333333
17;17,5;NP;C1;NPC1;11;52,1
18;18,2;HP;C1;HPC1;11;52,08333333
18;18,4;HP;NP;HPNP;11;50,4
19;19,1;NP;C1;NPC1;11;47,03333333
19;19,3;NP;NP;NPNP;11;56,6
19;19,4;NP;C2;NPC2;11;53,2
20;20,1;HP;C1;HPC1;11;58,9
20;20,3;HP;C2;HPC2;11;58,2
2;2,1;NP;C2;NPC2;12;49,2
2;2,2;NP;C1;NPC1;12;49,8
3;3,2;HP;C1;HPC1;12;56,4
3;3,3;HP;NP;HPNP;12;51,4
3;3,4;HP;C2;HPC2;12;58,9
4;4,1;NP;NP;NPNP;12;60,2
4;4,2;NP;NP;NPNP;12;54,7
4;4,3;NP;C1;NPC1;12;58
4;4,4;NP;C2;NPC2;12;59,2
4;4,5;NP;C1;NPC1;12;60,1
4;4,6;NP;C2;NPC2;12;47,6
5;5,1;NP;C1;NPC1;12;62,6
5;5,2;NP;C2;NPC2;12;42
5;5,4;NP;NP;NPNP;12;58,4
5;5,5;NP;NP;NPNP;12;49,7
6;6,1;HP;C1;HPC1;12;48,3
6;6,2;HP;C2;HPC2;12;40,4
7;7,1;HP;NP;HPNP;12;56
7;7,3;HP;C1;HPC1;12;41,8
7;7,5;HP;C2;HPC2;12;51,7
7;7,6;HP;NP;HPNP;12;48,3
8;8,1;HP;C2;HPC2;12;62,1
8;8,2;HP;C1;HPC1;12;59,6
8;8,5;HP;NP;HPNP;12;59,4
10;10,2;NP;NP;NPNP;12;53,1
10;10,5;NP;C2;NPC2;12;58,4
11;11,1;NP;C2;NPC2;12;53,6
11;11,2;NP;C1;NPC1;12;58
11;11,3;NP;NP;NPNP;12;51,9
12;12,1;HP;C2;HPC2;12;58,6
12;12,2;HP;NP;HPNP;12;63
13;13,2;HP;C1;HPC1;12;62,6
13;13,3;HP;C2;HPC2;12;62,7
16;16,1;HP;NP;HPNP;12;62,1
16;16,2;HP;C2;HPC2;12;60,5
16;16,3;HP;C1;HPC1;12;55,3
17;17,1;NP;C1;NPC1;12;60,3
17;17,2;NP;C2;NPC2;12;63,3
17;17,3;NP;NP;NPNP;12;68,3
17;17,5;NP;C1;NPC1;12;60,7
18;18,2;HP;C1;HPC1;12;51,8
18;18,4;HP;NP;HPNP;12;55,5
19;19,1;NP;C1;NPC1;12;47,7
19;19,3;NP;NP;NPNP;12;59,61111111
19;19,4;NP;C2;NPC2;12;53,41111111
20;20,1;HP;C1;HPC1;12;62,03333333
20;20,3;HP;C2;HPC2;12;60,96666667
2;2,1;NP;C2;NPC2;13;50,1
2;2,2;NP;C1;NPC1;13;55,3
3;3,2;HP;C1;HPC1;13;60,3
3;3,3;HP;NP;HPNP;13;55,7
3;3,4;HP;C2;HPC2;13;63,2
4;4,1;NP;NP;NPNP;13;62,1
4;4,2;NP;NP;NPNP;13;56,2
4;4,3;NP;C1;NPC1;13;59,8
4;4,4;NP;C2;NPC2;13;57,8
4;4,5;NP;C1;NPC1;13;59,9
4;4,6;NP;C2;NPC2;13;47,5
5;5,1;NP;C1;NPC1;13;65,2
5;5,2;NP;C2;NPC2;13;48
5;5,4;NP;NP;NPNP;13;65
5;5,5;NP;NP;NPNP;13;58,9
6;6,1;HP;C1;HPC1;13;52,9
6;6,2;HP;C2;HPC2;13;45,3
7;7,1;HP;NP;HPNP;13;61,6
7;7,3;HP;C1;HPC1;13;52,2
7;7,5;HP;C2;HPC2;13;64
7;7,6;HP;NP;HPNP;13;55,3
8;8,1;HP;C2;HPC2;13;69,1
8;8,2;HP;C1;HPC1;13;65,2
8;8,5;HP;NP;HPNP;13;65,7
10;10,2;NP;NP;NPNP;13;55,5
10;10,5;NP;C2;NPC2;13;58,5
11;11,1;NP;C2;NPC2;13;58,5
11;11,2;NP;C1;NPC1;13;61
11;11,3;NP;NP;NPNP;13;51,7
12;12,1;HP;C2;HPC2;13;65
12;12,2;HP;NP;HPNP;13;65,6
13;13,2;HP;C1;HPC1;13;64,3
13;13,3;HP;C2;HPC2;13;63,1
16;16,1;HP;NP;HPNP;13;65
16;16,2;HP;C2;HPC2;13;60,2
